2024-11-17 16:36:22,321 INFO    MainThread:72118 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_setup.py:_flush():79] Configure stats pid to 72118
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_setup.py:_flush():79] Loading settings from /Users/yirenlu/.config/wandb/settings
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_setup.py:_flush():79] Loading settings from /Users/yirenlu/modal-examples/wandb/settings
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-17 16:36:22,324 WARNING MainThread:72118 [wandb_setup.py:_flush():79] Could not save program above cwd: /opt/homebrew/bin/modal
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': None, 'program_abspath': '/opt/homebrew/bin/modal', 'program': '/opt/homebrew/bin/modal'}
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_init.py:_log_setup():533] Logging user logs to /Users/yirenlu/modal-examples/wandb/run-20241117_163622-6h6ac7ut/logs/debug.log
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/yirenlu/modal-examples/wandb/run-20241117_163622-6h6ac7ut/logs/debug-internal.log
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_init.py:init():619] calling init triggers
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_init.py:init():669] starting backend
2024-11-17 16:36:22,324 INFO    MainThread:72118 [wandb_init.py:init():673] sending inform_init request
2024-11-17 16:36:22,325 INFO    MainThread:72118 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-17 16:36:22,326 INFO    MainThread:72118 [wandb_init.py:init():686] backend started and connected
2024-11-17 16:36:22,330 INFO    MainThread:72118 [wandb_init.py:init():781] updated telemetry
2024-11-17 16:36:22,349 INFO    MainThread:72118 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-17 16:36:22,616 INFO    MainThread:72118 [wandb_init.py:init():867] starting run threads in backend
2024-11-17 16:36:22,742 INFO    MainThread:72118 [wandb_run.py:_console_start():2451] atexit reg
2024-11-17 16:36:22,743 INFO    MainThread:72118 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2024-11-17 16:36:22,743 INFO    MainThread:72118 [wandb_run.py:_redirect():2364] Wrapping output streams.
2024-11-17 16:36:22,743 INFO    MainThread:72118 [wandb_run.py:_redirect():2389] Redirects installed.
2024-11-17 16:36:22,744 INFO    MainThread:72118 [wandb_init.py:init():911] run started, returning control to user process
2024-11-17 16:37:26,224 INFO    MainThread:72118 [wandb_run.py:_finish():2146] finishing run yirenlu92-frindle/flux-lora-sweep-heroicons-11-17/6h6ac7ut
2024-11-17 16:37:26,226 INFO    MainThread:72118 [wandb_run.py:_atexit_cleanup():2414] got exitcode: 0
2024-11-17 16:37:26,226 INFO    MainThread:72118 [wandb_run.py:_restore():2396] restore
2024-11-17 16:37:26,226 INFO    MainThread:72118 [wandb_run.py:_restore():2402] restore done
2024-11-17 16:37:28,430 INFO    MainThread:72118 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2024-11-17 16:37:28,430 INFO    MainThread:72118 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2024-11-17 16:37:28,438 INFO    MainThread:72118 [wandb_run.py:_footer_sync_info():3922] logging synced files
